Date,Home Team,Away Team,Kick-off Time
2025-05-02,Man City,Wolves,22:00
2025-05-03,Aston Villa,Fulham,14:30
2025-05-03,Everton,Ipswich,17:00
2025-05-03,Leicester,Southampton,17:00
2025-05-03,Arsenal,Bournemouth,19:30
2025-05-04,Brentford,Man Utd,16:00
2025-05-04,Brighton,Newcastle,16:00
2025-05-04,West Ham,Spurs,16:00
2025-05-04,Chelsea,Liverpool,18:30
2025-05-05,Crystal Palace,Nott'm Forest,22:00
2025-05-10,Fulham,Everton,17:00
2025-05-10,Ipswich,Brentford,17:00
2025-05-10,Southampton,Man City,17:00
2025-05-10,Wolves,Brighton,17:00
2025-05-10,Bournemouth,Aston Villa,19:30
2025-05-11,Newcastle,Chelsea,14:00
2025-05-11,Man Utd,West Ham,16:15
2025-05-11,Nott'm Forest,Leicester,16:15
2025-05-11,Spurs,Crystal Palace,16:15
2025-05-11,Liverpool,Arsenal,18:30
2025-05-16,Chelsea,Man Utd,22:00
2025-05-18,Everton,Southampton,14:00
2025-05-18,Aston Villa,Spurs,16:15
2025-05-18,West Ham,Nott'm Forest,16:15
2025-05-18,Brentford,Fulham,17:00
2025-05-18,Leicester,Ipswich,17:00
2025-05-18,Arsenal,Newcastle,18:30
2025-05-19,Brighton,Liverpool,22:00
2025-05-20,Crystal Palace,Wolves,22:00
2025-05-20,Man City,Bournemouth,22:00
2025-05-25,Bournemouth,Leicester,18:00
2025-05-25,Fulham,Man City,18:00
2025-05-25,Ipswich,West Ham,18:00
2025-05-25,Liverpool,Crystal Palace,18:00
2025-05-25,Man Utd,Aston Villa,18:00
2025-05-25,Newcastle,Everton,18:00
2025-05-25,Nott'm Forest,Chelsea,18:00
2025-05-25,Southampton,Arsenal,18:00
2025-05-25,Spurs,Brighton,18:00
2025-05-25,Wolves,Brentford,18:00
