RoundNumber,DateUtc,Location,HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore
20,04/01/2025 12:30,Tottenham Hotspur Stadium,Spurs,Newcastle,1,2
20,04/01/2025 15:00,Villa Park,Aston Villa,Leicester,2,1
20,04/01/2025 15:00,Vitality Stadium,Bournemouth,Everton,1,0
20,04/01/2025 15:00,Selhurst Park,Crystal Palace,Chelsea,1,1
20,04/01/2025 15:00,Etihad Stadium,Man City,West Ham,4,1
20,04/01/2025 15:00,St. Mary's Stadium,Southampton,Brentford,0,5
20,04/01/2025 17:30,American Express Stadium,Brighton,Arsenal,1,1
20,05/01/2025 14:00,Craven Cottage,Fulham,Ipswich,2,2
20,05/01/2025 16:30,Anfield,Liverpool,Man Utd,2,2
20,06/01/2025 20:00,Molineux Stadium,Wolves,Nott'm Forest,0,3
