Player,Team,Goals,Assists,Appearances,RK_goals,RK_assists
Adama Traoré,Fulham,6,7,32,1,14
Alex Iwobi,Fulham,9,6,34,19,24
Alexander Isak,Newcastle United,22,6,31,2,24
Amad,Manchester United,6,6,22,1,24
Anthony Elanga,Nottingham Forest,6,10,33,47,3
Anthony Gordon,Newcastle United,6,5,30,47,38
Antoine Semenyo,AFC Bournemouth,9,4,33,19,1
Antonee Robinson,Fulham,6,10,33,1,3
Brennan Johnson,Tottenham Hotspur,11,4,31,15,1
Bruno Fernandes,Manchester United,8,9,33,29,7
Bruno Guimarães,Newcastle United,6,6,34,1,24
Bryan Mbeumo,Brentford,18,6,33,5,24
Bukayo Saka,Arsenal,6,10,21,1,3
Chris Wood,Nottingham Forest,19,4,31,4,1
Cody Gakpo,Liverpool,9,4,31,19,1
Cole Palmer,Chelsea,14,8,33,9,10
Dango Ouattara,AFC Bournemouth,7,4,31,36,1
Danny Welbeck,Brighton & Hove Albion,9,4,27,19,1
Declan Rice,Arsenal,6,7,32,1,14
Dejan Kulusevski,Tottenham Hotspur,7,4,30,36,1
Dominic Solanke,Tottenham Hotspur,8,4,25,29,1
Dominik Szoboszlai,Liverpool,6,6,32,1,24
Dwight McNeil,Everton,6,5,17,1,38
Eberechi Eze,Crystal Palace,6,8,30,1,10
Elliot Anderson,Nottingham Forest,6,7,32,1,14
Emile Smith Rowe,Fulham,6,4,30,47,1
Enzo Fernández,Chelsea,6,7,32,1,14
Erling Haaland,Manchester City,21,4,28,3,1
Evanilson,AFC Bournemouth,9,4,27,19,1
Gabriel Martinelli,Arsenal,7,5,29,36,38
Harvey Barnes,Newcastle United,9,4,29,19,1
Iliman Ndiaye,Everton,7,4,29,36,1
Ilkay Gündogan,Manchester City,6,5,30,1,38
Ismaïla Sarr,Crystal Palace,7,4,34,36,48
Jacob Murphy,Newcastle United,8,11,31,29,2
James Maddison,Tottenham Hotspur,9,7,31,19,14
Jamie Vardy,Leicester City,7,4,32,36,1
Jarrod Bowen,West Ham United,9,7,30,19,14
Jean-Philippe Mateta,Crystal Palace,14,4,33,9,1
Jean-Ricner Bellegarde,Wolverhampton Wanderers,6,6,31,1,24
Jhon Durán,Aston Villa,7,4,20,36,1
João Pedro,Brighton & Hove Albion,10,6,27,16,24
Justin Kluivert,AFC Bournemouth,12,6,30,12,24
Jérémy Doku,Manchester City,6,5,25,1,38
Jørgen Strand Larsen,Wolverhampton Wanderers,13,4,32,11,1
Kai Havertz,Arsenal,9,4,21,19,1
Kaoru Mitoma,Brighton & Hove Albion,9,4,33,19,1
Kevin De Bruyne,Manchester City,6,7,24,1,14
Kevin Schade,Brentford,7,4,33,36,1
Leandro Trossard,Arsenal,8,5,34,29,38
Liam Delap,Ipswich Town,12,4,33,12,1
Luis Díaz,Liverpool,12,5,33,12,38
Marcus Tavernier,AFC Bournemouth,6,5,25,1,38
Martin Ødegaard,Arsenal,6,6,26,1,24
Mateo Kovacic,Manchester City,6,4,28,47,1
Matheus Cunha,Wolverhampton Wanderers,15,6,29,7,24
Matheus Nunes,Manchester City,6,5,23,1,38
Mikkel Damsgaard,Brentford,6,10,33,1,3
Milos Kerkez,AFC Bournemouth,6,5,34,1,38
Mohamed Salah,Liverpool,28,18,34,1,1
Morgan Gibbs-White,Nottingham Forest,6,7,29,1,14
Morgan Rogers,Aston Villa,8,8,33,29,10
Nicolas Jackson,Chelsea,10,6,28,16,24
Noni Madueke,Chelsea,7,4,28,36,1
Ollie Watkins,Aston Villa,15,9,34,7,7
Pedro Porro,Tottenham Hotspur,6,6,31,1,24
Phil Foden,Manchester City,7,4,25,36,1
Rayan Aït-Nouri,Wolverhampton Wanderers,6,7,33,1,14
Raúl Jiménez,Fulham,10,4,34,16,1
Rodrigo Muniz,Fulham,8,4,31,29,1
Ryan Gravenberch,Liverpool,6,4,34,1,48
Savinho,Manchester City,6,8,27,1,10
Son Heung-Min,Tottenham Hotspur,7,9,28,36,7
Tomás Soucek,West Ham United,8,4,31,29,1
Trent Alexander-Arnold,Liverpool,6,6,30,1,24
Tyrick Mitchell,Crystal Palace,6,4,34,1,48
Yoane Wissa,Brentford,16,4,30,6,1
Youri Tielemans,Aston Villa,6,7,34,1,14
