Position,Team,Played,Won,Drawn,Lost,Goals For,Goals Against,Goal Difference,Points
1,Liverpool LIV,34,25,7,2,80,32,+48,82
2,Arsenal ARS,34,18,13,3,63,29,+34,67
3,Newcastle United NEW,34,19,5,10,65,44,+21,62
4,Manchester City MCI,34,18,7,9,66,43,+23,61
5,Chelsea CHE,34,17,9,8,59,40,+19,60
6,Nottingham Forest NFO,34,18,6,10,53,41,+12,60
7,Aston Villa AVL,34,16,9,9,54,49,+5,57
8,Fulham FUL,34,14,9,11,50,46,+4,51
9,Brighton and Hove Albion BHA,34,13,12,9,56,55,+1,51
10,Bournemouth BOU,34,13,11,10,53,41,+12,50
11,Brentford BRE,34,14,7,13,58,50,+8,49
12,Crystal Palace CRY,34,11,12,11,43,47,-4,45
13,Wolverhampton Wanderers WOL,34,12,5,17,51,61,-10,41
14,Manchester United MUN,34,10,9,15,39,47,-8,39
15,Everton EVE,34,8,14,12,34,41,-7,38
16,Tottenham Hotspur TOT,34,11,4,19,62,56,+6,37
17,West Ham United WHU,34,9,9,16,39,58,-19,36
18,Ipswich Town IPS,34,4,9,21,33,74,-41,21
19,Leicester City LEI,34,4,6,24,27,76,-49,18
20,Southampton SOU,34,2,5,27,25,80,-55,11
