RK,Name,Team,Appearances,Assists
1,Mohamed Salah,Liverpool,34,18
2,Jacob Murphy,Newcastle United,31,11
3,Antonee Robinson,Fulham,33,10
3,Mikkel Damsgaard,Brentford,33,10
3,Anthony Elanga,Nottingham Forest,33,10
3,Bukayo Saka,Arsenal,21,10
7,Ollie Watkins,Aston Villa,34,9
7,Bruno Fernandes,Manchester United,33,9
7,Son Heung-Min,Tottenham Hotspur,28,9
10,Cole Palmer,Chelsea,33,8
10,Morgan Rogers,Aston Villa,33,8
10,Eberechi Eze,Crystal Palace,30,8
10,Savinho,Manchester City,27,8
14,Youri Tielemans,Aston Villa,34,7
14,Rayan Aït-Nouri,Wolverhampton Wanderers,33,7
14,Declan Rice,Arsenal,32,7
14,Enzo Fernández,Chelsea,32,7
14,Elliot Anderson,Nottingham Forest,32,7
14,Adama Traoré,Fulham,32,7
14,James Maddison,Tottenham Hotspur,31,7
14,Jarrod Bowen,West Ham United,30,7
14,Morgan Gibbs-White,Nottingham Forest,29,7
14,Kevin De Bruyne,Manchester City,24,7
24,Bruno Guimarães,Newcastle United,34,6
24,Alex Iwobi,Fulham,34,6
24,Bryan Mbeumo,Brentford,33,6
24,Dominik Szoboszlai,Liverpool,32,6
24,Alexander Isak,Newcastle United,31,6
24,Pedro Porro,Tottenham Hotspur,31,6
24,Jean-Ricner Bellegarde,Wolverhampton Wanderers,31,6
24,Trent Alexander-Arnold,Liverpool,30,6
24,Justin Kluivert,AFC Bournemouth,30,6
24,Matheus Cunha,Wolverhampton Wanderers,29,6
24,Nicolas Jackson,Chelsea,28,6
24,João Pedro,Brighton & Hove Albion,27,6
24,Martin Ødegaard,Arsenal,26,6
24,Amad,Manchester United,22,6
38,Milos Kerkez,AFC Bournemouth,34,5
38,Leandro Trossard,Arsenal,34,5
38,Luis Díaz,Liverpool,33,5
38,Anthony Gordon,Newcastle United,30,5
38,Ilkay Gündogan,Manchester City,30,5
38,Gabriel Martinelli,Arsenal,29,5
38,Marcus Tavernier,AFC Bournemouth,25,5
38,Jérémy Doku,Manchester City,25,5
38,Matheus Nunes,Manchester City,23,5
38,Dwight McNeil,Everton,17,5
48,Ryan Gravenberch,Liverpool,34,4
48,Tyrick Mitchell,Crystal Palace,34,4
48,Ismaïla Sarr,Crystal Palace,34,4
